timestamp,job_title,company,url,result,questions_answered
2026-04-06 14:08:39,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-300326936616,external,0
2026-04-06 14:08:40,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-300326935629,external,0
2026-04-06 14:08:45,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-310326929906,applied,0
2026-04-06 14:08:45,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-bonami-software-noida-1-to-2-years-310326031348,already_applied,0
2026-04-06 14:08:46,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-300326928925,external,0
2026-04-06 14:08:48,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-020426930957,external,0
2026-04-06 14:08:49,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-300326929458,external,0
2026-04-06 14:08:50,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-stack-digital-hubli-mangaluru-mysuru-bengaluru-belgaum-3-to-7-years-030426504887,external,0
2026-04-06 14:08:51,APAC Markets Java Developer,Unknown,https://www.naukri.com/job-listings-apac-markets-java-developer-barclays-shared-services-pune-0-to-8-years-300326500575,external,0
2026-04-06 14:08:52,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-ss-c-technologies-hyderabad-3-to-5-years-020426504958,external,0
2026-04-06 14:08:54,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-bonami-software-private-limited-noida-1-to-4-years-020426503194,external,0
2026-04-06 14:09:15,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-310326930187,already_applied,0
2026-04-06 14:09:15,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-300326934954,external,0
2026-04-06 14:09:17,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-300326932480,external,0
2026-04-09 10:33:54,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-consulting-krew-bengaluru-2-to-4-years-080426016095,applied,6
2026-04-09 10:34:25,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-070426927817,external,0
2026-04-09 10:34:27,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-070426927814,external,0
2026-04-09 10:34:28,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-070426927396,external,0
2026-04-09 10:34:30,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-070426928627,external,0
2026-04-09 10:34:51,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080426938958,external,0
2026-04-09 10:35:14,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-3-to-8-years-080426937682,external,0
2026-04-09 10:35:27,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-070426931640,external,0
2026-04-09 10:35:38,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-070426928012,external,0
2026-04-09 10:35:53,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-070426928011,external,0
2026-04-09 10:36:25,Software Development Engineer,Unknown,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-1-to-4-years-070426926808,external,0
2026-04-09 10:36:31,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-srs-business-solutions-india-hyderabad-2-to-4-years-080426029275,applied,6
2026-04-09 10:37:22,Java Developer,Unknown,https://www.naukri.com/job-listings-java-developer-srs-business-solutions-india-ameerpet-hyderabad-1-to-3-years-080426031042,applied,8
